12288.0,"[12234.0, 40.0, 2.0, 12288.0, 0.01, 1.62972, 0.0, 0.0, 0.0, 0.0]"
12289.0,"[12234.0, 40.0, 2.0, 12289.0, 0.01, 1.67964, 0.0, 0.0, 0.0, 0.0]"
12290.0,"[12235.0, 39.0, 2.0, 12290.0, 0.01, 1.68842, 0.0, 0.0, 0.0, 0.0]"
12291.0,"[12235.0, 39.0, 2.0, 12291.0, 0.01, 1.68842, 0.0, 0.0, 0.0, 0.0]"
12292.0,"[12236.0, 41.0, 2.0, 12292.0, 0.01, 1.63998, 0.0, 0.0, 0.0, 0.0]"
12293.0,"[12236.0, 41.0, 2.0, 12293.0, 0.01, 1.6899, 0.0, 0.0, 0.0, 0.0]"
12294.0,"[12236.0, 78.0, 0.0, 12294.0, 0.01, 1.66512, 0.0, 0.0, -0.74, 998.51]"
12295.0,"[12205.0, 41.0, 0.0, 12295.0, 0.01, 1.62666, 0.0, 0.0, -0.49, 998.27]"
12296.0,"[12234.0, 70.0, 2.0, 12296.0, 0.01, 1.67945, 0.0, 0.0, 0.0, 0.0]"
12297.0,"[12234.0, 70.0, 2.0, 12297.0, 0.01, 1.67945, 0.0, 0.0, 0.0, 0.0]"
12298.0,"[12234.0, 70.0, 2.0, 12298.0, 0.01, 1.67945, 0.0, 0.0, 0.0, 0.0]"
12299.0,"[12206.0, 53.0, 0.0, 12299.0, 0.01, 1.63601, 0.0, 0.0, -0.67, 998.58]"
12300.0,"[12206.0, 53.0, 2.0, 12300.0, 0.01, 1.66066, 0.0, 0.0, 0.0, 0.0]"
12301.0,"[12206.0, 53.0, 2.0, 12301.0, 0.01, 1.66066, 0.0, 0.0, 0.0, 0.0]"
12302.0,"[12206.0, 53.0, 2.0, 12302.0, 0.01, 1.66066, 0.0, 0.0, 0.0, 0.0]"
12303.0,"[12236.0, 55.0, 2.0, 12303.0, 0.01, 1.6899, 0.0, 0.0, 0.0, 0.0]"
12304.0,"[12207.0, 54.0, 0.0, 12304.0, 0.01, 1.62884, 0.0, 0.0, -0.67, 998.58]"
12305.0,"[12207.0, 54.0, 2.0, 12305.0, 0.01, 1.65351, 0.0, 0.0, 0.0, 0.0]"
12306.0,"[12207.0, 54.0, 2.0, 12306.0, 0.01, 1.65351, 0.0, 0.0, 0.0, 0.0]"
12307.0,"[12207.0, 54.0, 2.0, 12307.0, 0.01, 1.65351, 0.0, 0.0, 0.0, 0.0]"
12308.0,"[12237.0, 40.0, 2.0, 12308.0, 0.01, 1.69432, 0.0, 0.0, 0.0, 0.0]"
12309.0,"[12237.0, 40.0, 2.0, 12309.0, 0.01, 1.69432, 0.0, 0.0, 0.0, 0.0]"
12310.0,"[12235.0, 53.0, 0.0, 12310.0, 0.01, 1.66376, 0.0, 0.0, -0.7, 998.55]"
12311.0,"[12235.0, 53.0, 2.0, 12311.0, 0.01, 1.68848, 0.0, 0.0, 0.0, 0.0]"
12312.0,"[12235.0, 53.0, 2.0, 12312.0, 0.01, 1.68848, 0.0, 0.0, 0.0, 0.0]"
12313.0,"[12235.0, 53.0, 2.0, 12313.0, 0.01, 1.68848, 0.0, 0.0, 0.0, 0.0]"
12314.0,"[12237.0, 40.0, 2.0, 12314.0, 0.01, 1.69432, 0.0, 0.0, 0.0, 0.0]"
12315.0,"[12243.0, 41.0, 2.0, 12315.0, 0.01, 1.66014, 0.0, 0.0, 0.0, 0.0]"
12316.0,"[12206.0, 76.0, 0.0, 12316.0, 0.01, 1.63617, 0.0, 0.0, -0.69, 998.56]"
12319.0,"[12236.0, 78.0, 0.0, 12319.0, 0.01, 1.66512, 0.0, 0.0, -0.74, 997.77]"
12320.0,"[12207.0, 78.0, 0.0, 12320.0, 0.01, 1.62898, 0.0, 0.0, -0.71, 998.54]"
12321.0,"[12220.0, 26.0, 0.0, 12321.0, 0.01, 1.67785, 0.0, 0.0, -0.65, 998.6]"
12322.0,"[12205.0, 41.0, 0.0, 12322.0, 0.01, 1.62666, 0.0, 0.0, -0.49, 998.76]"
12323.0,"[12220.0, 26.0, 0.0, 12323.0, 0.01, 1.67785, 0.0, 0.0, -0.65, 997.95]"
12324.0,"[12220.0, 26.0, 0.0, 12324.0, 0.01, 1.67785, 0.0, 0.0, -0.65, 997.3000000000001]"
12325.0,"[12220.0, 26.0, 0.0, 12325.0, 0.01, 1.67785, 0.0, 0.0, -0.65, 996.6500000000001]"
12327.0,"[12235.0, 77.0, 0.0, 12327.0, 0.01, 1.66389, 0.0, 0.0, -0.71, 998.54]"
12333.0,"[12213.0, 25.0, 0.0, 12333.0, 0.01, 1.64484, 0.0, 0.0, -0.72, 997.0899999999999]"
12334.0,"[12216.0, 24.0, 0.0, 12334.0, 0.01, 1.66835, 0.0, 0.0, -0.72, 997.0899999999999]"
12339.0,"[12237.0, 54.0, 2.0, 12339.0, 0.01, 1.64421, 0.0, 0.0, 0.0, 0.0]"
12340.0,"[12243.0, 55.0, 2.0, 12340.0, 0.01, 1.6097, 0.0, 0.0, 0.0, 0.0]"
12347.0,"[12213.0, 25.0, 0.0, 12347.0, 0.01, 1.64484, 0.0, 0.0, -0.72, 998.53]"
12349.0,"[12216.0, 24.0, 0.0, 12349.0, 0.01, 1.66835, 0.0, 0.0, -0.72, 997.81]"
12222.0,"[12219.0, 25.0, 0.0, 12222.0, 0.01, 1.67423, 0.0, 0.0, -0.73, 997.06]"
12223.0,"[12219.0, 25.0, 0.0, 12223.0, 0.01, 1.67423, 0.0, 0.0, -0.73, 996.3299999999999]"
12224.0,"[12219.0, 25.0, 0.0, 12224.0, 0.01, 1.67423, 0.0, 0.0, -0.73, 998.52]"
12225.0,"[12219.0, 25.0, 0.0, 12225.0, 0.01, 1.67423, 0.0, 0.0, -0.73, 997.79]"
12242.0,"[12188.0, 25.0, 0.0, 12242.0, 0.01, 1.62009, 0.0, 0.0, -0.64, 998.61]"
12243.0,"[12188.0, 25.0, 2.0, 12243.0, 0.01, 1.63407, 0.0, 0.0, 0.0, 0.0]"
12244.0,"[12188.0, 25.0, 2.0, 12244.0, 0.01, 1.63407, 0.0, 0.0, 0.0, 0.0]"
12245.0,"[12188.0, 25.0, 2.0, 12245.0, 0.01, 1.63407, 0.0, 0.0, 0.0, 0.0]"
12250.0,"[12205.0, 41.0, 0.0, 12250.0, 0.01, 1.62666, 0.0, 0.0, -0.49, 997.78]"
12262.0,"[12207.0, 41.0, 0.0, 12262.0, 0.01, 1.62875, 0.0, 0.0, -0.6, 998.65]"
12263.0,"[12236.0, 41.0, 0.0, 12263.0, 0.01, 1.66514, 0.0, 0.0, -0.71, 998.54]"
12264.0,"[12234.0, 25.0, 0.0, 12264.0, 0.01, 1.65511, 0.0, 0.0, -0.75, 999.25]"
12265.0,"[12234.0, 25.0, 2.0, 12265.0, 0.01, 1.6802, 0.0, 0.0, 0.0, 0.0]"
12266.0,"[12234.0, 25.0, 2.0, 12266.0, 0.01, 1.6802, 0.0, 0.0, 0.0, 0.0]"
12267.0,"[12234.0, 25.0, 2.0, 12267.0, 0.01, 1.6802, 0.0, 0.0, 0.0, 0.0]"
12268.0,"[12236.0, 41.0, 2.0, 12268.0, 0.01, 1.68996, 0.0, 0.0, 0.0, 0.0]"
12269.0,"[12236.0, 41.0, 2.0, 12269.0, 0.01, 1.68996, 0.0, 0.0, 0.0, 0.0]"
12270.0,"[12236.0, 41.0, 2.0, 12270.0, 0.01, 1.68996, 0.0, 0.0, 0.0, 0.0]"
12271.0,"[12207.0, 41.0, 2.0, 12271.0, 0.01, 1.65335, 0.0, 0.0, 0.0, 0.0]"
12272.0,"[12207.0, 41.0, 2.0, 12272.0, 0.01, 1.65335, 0.0, 0.0, 0.0, 0.0]"
12273.0,"[12206.0, 39.0, 0.0, 12273.0, 0.01, 1.6359, 0.0, 0.0, -0.63, 998.62]"
12274.0,"[12206.0, 39.0, 2.0, 12274.0, 0.01, 1.66054, 0.0, 0.0, 0.0, 0.0]"
12275.0,"[12206.0, 39.0, 2.0, 12275.0, 0.01, 1.66054, 0.0, 0.0, 0.0, 0.0]"
12276.0,"[12206.0, 39.0, 2.0, 12276.0, 0.01, 1.66054, 0.0, 0.0, 0.0, 0.0]"
12277.0,"[12207.0, 41.0, 2.0, 12277.0, 0.01, 1.65335, 0.0, 0.0, 0.0, 0.0]"
12280.0,"[12216.0, 24.0, 0.0, 12280.0, 0.01, 1.66835, 0.0, 0.0, -0.72, 998.53]"
12281.0,"[12243.0, 41.0, 2.0, 12281.0, 0.01, 1.66014, 0.0, 0.0, 0.0, 0.0]"
12282.0,"[12243.0, 41.0, 2.0, 12282.0, 0.01, 1.66014, 0.0, 0.0, 0.0, 0.0]"
12283.0,"[12213.0, 25.0, 0.0, 12283.0, 0.01, 1.64484, 0.0, 0.0, -0.72, 997.81]"
12284.0,"[12235.0, 39.0, 0.0, 12284.0, 0.01, 1.66372, 0.0, 0.0, -0.66, 998.59]"
12285.0,"[12235.0, 39.0, 2.0, 12285.0, 0.01, 1.68842, 0.0, 0.0, 0.0, 0.0]"
12286.0,"[12234.0, 40.0, 2.0, 12286.0, 0.01, 1.62972, 0.0, 0.0, 0.0, 0.0]"
12287.0,"[12234.0, 40.0, 2.0, 12287.0, 0.01, 1.67964, 0.0, 0.0, 0.0, 0.0]"
